230929-COI-COL-074-B3_S126_L001_R2_001	29.0	104.0	109.0	1123.0	47.0	26.0	10.0	0.0	8.0	1.0	1.0	4.0	6.0	22.0	4.0	0.0	14.0	5.0	52.0	20.0	13.0	1.0	112.0	2.0	3.0	5.0	5084.0	92075.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-S1_S121_L001_R1_001	200.0	111.0	662.0	1205.0	19.0	9.0	14.0	3.0	25.0	46.0	2.0	6.0	18.0	96.0	7.0	9.0	9.0	11.0	80.0	81.0	10.0	7.0	16.0	1.0	5.0	6.0	1419.0	80407.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-S1_S121_L001_R2_001	47.0	78.0	535.0	1051.0	28.0	38.0	15.0	7.0	19.0	35.0	1.0	5.0	17.0	76.0	7.0	6.0	8.0	11.0	42.0	29.0	7.0	4.0	12.0	0.0	3.0	3.0	4916.0	77484.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-S2_S122_L001_R1_001	215.0	77.0	378.0	872.0	51.0	10.0	43.0	2.0	45.0	5.0	2.0	4.0	13.0	8.0	28.0	4.0	8.0	10.0	52.0	50.0	13.0	5.0	1.0	2.0	4.0	6.0	6560.0	80258.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-S2_S122_L001_R2_001	41.0	60.0	315.0	766.0	84.0	40.0	41.0	2.0	36.0	1.0	1.0	2.0	10.0	5.0	20.0	2.0	5.0	5.0	19.0	13.0	9.0	4.0	2.0	2.0	3.0	3.0	4254.0	82981.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-S3_S123_L001_R1_001	187.0	95.0	373.0	939.0	26.0	16.0	8.0	3.0	6.0	6.0	5.0	4.0	14.0	10.0	11.0	5.0	8.0	21.0	37.0	43.0	3.0	2.0	4.0	2.0	3.0	1.0	3404.0	66730.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-S3_S123_L001_R2_001	42.0	68.0	287.0	784.0	24.0	20.0	8.0	3.0	3.0	4.0	3.0	2.0	8.0	7.0	8.0	3.0	7.0	11.0	14.0	9.0	2.0	2.0	1.0	2.0	3.0	1.0	3950.0	66690.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-B1_S130_L001_R1_001	478.0	129.0	889.0	2288.0	64.0	25.0	11.0	4.0	58.0	3.0	1.0	37.0	4.0	19.0	6.0	48.0	15.0	38.0	114.0	34.0	5.0	4.0	26.0	4.0	8.0	4.0	2012.0	82707.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-B1_S130_L001_R2_001	106.0	95.0	746.0	2096.0	127.0	88.0	7.0	2.0	50.0	2.0	1.0	28.0	4.0	16.0	5.0	42.0	15.0	30.0	49.0	13.0	3.0	1.0	17.0	2.0	4.0	5.0	4175.0	81306.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-B2_S131_L001_R1_001	633.0	162.0	1299.0	2075.0	162.0	14.0	9.0	9.0	6.0	1.0	19.0	44.0	20.0	3.0	32.0	1.0	7.0	16.0	97.0	35.0	15.0	5.0	8.0	5.0	8.0	13.0	2340.0	64885.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-B2_S131_L001_R2_001	98.0	119.0	1042.0	1778.0	262.0	46.0	7.0	8.0	4.0	1.0	16.0	33.0	12.0	4.0	26.0	1.0	6.0	10.0	38.0	4.0	10.0	2.0	4.0	3.0	6.0	7.0	4097.0	64279.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-B3_S132_L001_R1_001	500.0	46.0	455.0	1319.0	52.0	22.0	13.0	5.0	10.0	25.0	29.0	12.0	3.0	4.0	3.0	32.0	2.0	15.0	106.0	39.0	3.0	6.0	1.0	8.0	8.0	1.0	1207.0	54765.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-B3_S132_L001_R2_001	33.0	36.0	374.0	1261.0	61.0	105.0	14.0	1.0	7.0	21.0	28.0	9.0	1.0	7.0	1.0	25.0	3.0	8.0	42.0	6.0	4.0	1.0	0.0	3.0	4.0	0.0	3598.0	53038.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-S1_S127_L001_R1_001	1131.0	1282.0	2193.0	7733.0	158.0	26.0	9.0	4.0	14.0	3.0	1.0	22.0	11.0	15.0	3.0	2.0	3.0	14.0	72.0	57.0	26.0	4.0	1036.0	7.0	1.0	6.0	6297.0	73929.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-S1_S127_L001_R2_001	178.0	939.0	1784.0	6740.0	210.0	168.0	6.0	3.0	11.0	4.0	1.0	20.0	9.0	57.0	3.0	1.0	2.0	11.0	27.0	10.0	18.0	4.0	726.0	5.0	0.0	4.0	6558.0	76560.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-S2_S128_L001_R1_001	291.0	42.0	204.0	715.0	82.0	13.0	4.0	0.0	2.0	1.0	1.0	5.0	1.0	2.0	2.0	1.0	1.0	0.0	157.0	71.0	1.0	1.0	17.0	0.0	0.0	2.0	1779.0	19069.0
